t              nodalLine_nextTo_Loop_Port2.fdtd_Bulk probe_port2_Jz_24_39_80__25_40_80.dat
   0.38978864331119106E-009   0.332999571E-005
   0.39132930988554360E-009   0.339498865E-005
   0.39286997645989613E-009   0.346120055E-005
   0.39441064303424866E-009   0.352867801E-005
   0.39595130960860120E-009   0.359744786E-005
   0.39749197618295373E-009   0.366751692E-005
   0.39903264275730627E-009   0.373888497E-005
   0.40057330933165880E-009   0.381156087E-005
   0.40211397590601133E-009   0.388557055E-005
   0.40365464248036387E-009   0.396095356E-005
   0.40519530905471640E-009   0.403775084E-005
   0.40673597562906894E-009   0.411599331E-005
   0.40827664220342147E-009   0.419569869E-005
   0.40981730877777400E-009   0.427687974E-005
   0.41135797535212654E-009   0.435955462E-005
   0.41289864192647907E-009   0.444375473E-005
   0.41443930850083160E-009   0.452951872E-005
   0.41597997507518414E-009   0.461688251E-005
   0.41752064164953667E-009   0.470586838E-005
   0.41906130822388921E-009   0.479649498E-005
   0.42060197479824174E-009   0.488878095E-005
   0.42214264137259427E-009   0.498275313E-005
   0.42368330794694681E-009   0.507845152E-005
   0.42522397452129934E-009   0.517592298E-005
   0.42676464109565188E-009   0.527520751E-005
   0.42830530767000441E-009   0.537633059E-005
   0.42984597424435694E-009   0.547930540E-005
   0.43138664081870948E-009   0.558414604E-005
   0.43292730739306201E-009   0.569088752E-005
   0.43446797396741454E-009   0.579958214E-005
   0.43600864054176708E-009   0.591028584E-005
   0.43754930711611961E-009   0.602304090E-005
   0.43908997369047215E-009   0.613787006E-005
   0.44063064026482468E-009   0.625478697E-005
   0.44217130683917721E-009   0.637380799E-005
   0.44371197341352975E-009   0.649496860E-005
   0.44525263998788228E-009   0.661832246E-005
   0.44679330656223482E-009   0.674393459E-005
   0.44833397313658735E-009   0.687186184E-005
   0.44987463971093988E-009   0.700213877E-005
   0.45141530628529242E-009   0.713478585E-005
   0.45295597285964495E-009   0.726981762E-005
   0.45449663943399748E-009   0.740726500E-005
   0.45603730600835002E-009   0.754718076E-005
   0.45757797258270255E-009   0.768962582E-005
   0.45911863915705509E-009   0.783466203E-005
   0.46065930573140762E-009   0.798234123E-005
   0.46219997230576015E-009   0.813269708E-005
   0.46374063888011269E-009   0.828575412E-005
   0.46528130545446522E-009   0.844154602E-005
   0.46682197202881776E-009   0.860011914E-005
   0.46836263860317029E-009   0.876153626E-005
   0.46990330517752282E-009   0.892586468E-005
   0.47144397175187536E-009   0.909316259E-005
   0.47298463832622789E-009   0.926346911E-005
   0.47452530490058042E-009   0.943681789E-005
   0.47606597147493296E-009   0.961325077E-005
   0.47760663804928549E-009   0.979281504E-005
   0.47914730462363803E-009   0.997557709E-005
   0.48068797119799056E-009   0.101616115E-004
   0.48222863777234309E-009   0.103509910E-004
   0.48376930434669563E-009   0.105437648E-004
   0.48530997092104816E-009   0.107399701E-004
   0.48685063749540070E-009   0.109396442E-004
   0.48839130406975323E-009   0.111428471E-004
   0.48993197064410576E-009   0.113496399E-004
   0.49147263721845830E-009   0.115600951E-004
   0.49301330379281083E-009   0.117742884E-004
   0.49455397036716336E-009   0.119922879E-004
   0.49609463694151590E-009   0.122141591E-004
   0.49763530351586843E-009   0.124399558E-004
   0.49917597009022097E-009   0.126697314E-004
   0.50071663666457350E-009   0.129035425E-004
   0.50225730323892603E-009   0.131414645E-004
   0.50379796981327857E-009   0.133835747E-004
   0.50533863638763110E-009   0.136299486E-004
   0.50687930296198364E-009   0.138806536E-004
   0.50841996953633617E-009   0.141357659E-004
   0.50996063611068870E-009   0.143953639E-004
   0.51150130268504124E-009   0.146595175E-004
   0.51304196925939377E-009   0.149282887E-004
   0.51458263583374630E-009   0.152017492E-004
   0.51612330240809884E-009   0.154799764E-004
   0.51766396898245137E-009   0.157630657E-004
   0.51920463555680391E-009   0.160511026E-004
   0.52074530213115644E-009   0.163441691E-004
   0.52228596870550897E-009   0.166423488E-004
   0.52382663527986151E-009   0.169457107E-004
   0.52536730185421404E-009   0.172543405E-004
   0.52690796842856658E-009   0.175683253E-004
   0.52844863500291911E-009   0.178877563E-004
   0.52998930157727164E-009   0.182127278E-004
   0.53152996815162418E-009   0.185433346E-004
   0.53307063472597671E-009   0.188796548E-004
   0.53461130130032924E-009   0.192217904E-004
   0.53615196787468178E-009   0.195698376E-004
   0.53769263444903431E-009   0.199238948E-004
   0.53923330102338685E-009   0.202840620E-004
   0.54077396759773938E-009   0.206504264E-004
   0.54231463417209191E-009   0.210230864E-004
   0.54385530074644445E-009   0.214021566E-004
   0.54539596732079698E-009   0.217877550E-004
   0.54693663389514952E-009   0.221799764E-004
   0.54847730046950205E-009   0.225789117E-004
   0.55001796704385458E-009   0.229846592E-004
   0.55155863361820712E-009   0.233973460E-004
   0.55309930019255965E-009   0.238171106E-004
   0.55463996676691218E-009   0.242440728E-004
   0.55618063334126472E-009   0.246783329E-004
   0.55772129991561725E-009   0.251199799E-004
   0.55926196648996979E-009   0.255691120E-004
   0.56080263306432232E-009   0.260258712E-004
   0.56234329963867485E-009   0.264904047E-004
   0.56388396621302739E-009   0.269628690E-004
   0.56542463278737992E-009   0.274433896E-004
   0.56696529936173246E-009   0.279320702E-004
   0.56850596593608499E-009   0.284289927E-004
   0.57004663251043752E-009   0.289342715E-004
   0.57158729908479006E-009   0.294480706E-004
   0.57312796565914259E-009   0.299705771E-004
   0.57466863223349512E-009   0.305019603E-004
   0.57620929880784766E-009   0.310423347E-004
   0.57774996538220019E-009   0.315917969E-004
   0.57929063195655273E-009   0.321504631E-004
   0.58083129853090526E-009   0.327184971E-004
   0.58237196510525779E-009   0.332960772E-004
   0.58391263167961033E-009   0.338833706E-004
   0.58545329825396286E-009   0.344805230E-004
   0.58699396482831540E-009   0.350876908E-004
   0.58853463140266793E-009   0.357050230E-004
   0.59007529797702046E-009   0.363326835E-004
   0.59161596455137300E-009   0.369708032E-004
   0.59315663112572553E-009   0.376195530E-004
   0.59469729770007806E-009   0.382791040E-004
   0.59623796427443060E-009   0.389496636E-004
   0.59777863084878313E-009   0.396314099E-004
   0.59931929742313567E-009   0.403245031E-004
   0.60085996399748820E-009   0.410291104E-004
   0.60240063057184073E-009   0.417453848E-004
   0.60394129714619327E-009   0.424735044E-004
   0.60548196372054580E-009   0.432136731E-004
   0.60702263029489834E-009   0.439661089E-004
   0.60856329686925087E-009   0.447310158E-004
   0.61010396344360340E-009   0.455085683E-004
   0.61164463001795594E-009   0.462989410E-004
   0.61318529659230847E-009   0.471022940E-004
   0.61472596316666100E-009   0.479188602E-004
   0.61626662974101354E-009   0.487488796E-004
   0.61780729631536607E-009   0.495925706E-004
   0.61934796288971861E-009   0.504501404E-004
   0.62088862946407114E-009   0.513217674E-004
   0.62242929603842367E-009   0.522076371E-004
   0.62396996261277621E-009   0.531080077E-004
   0.62551062918712874E-009   0.540230903E-004
   0.62705129576148128E-009   0.549531396E-004
   0.62859196233583381E-009   0.558983957E-004
   0.63013262891018634E-009   0.568590767E-004
   0.63167329548453888E-009   0.578354156E-004
   0.63321396205889141E-009   0.588276343E-004
   0.63475462863324394E-009   0.598359584E-004
   0.63629529520759648E-009   0.608606424E-004
   0.63783596178194901E-009   0.619019702E-004
   0.63937662835630155E-009   0.629602218E-004
   0.64091729493065408E-009   0.640356520E-004
   0.64245796150500661E-009   0.651284645E-004
   0.64399862807935915E-009   0.662388848E-004
   0.64553929465371168E-009   0.673672257E-004
   0.64707996122806422E-009   0.685137711E-004
   0.64862062780241675E-009   0.696788047E-004
   0.65016129437676928E-009   0.708626467E-004
   0.65170196095112182E-009   0.720655516E-004
   0.65324262752547435E-009   0.732877816E-004
   0.65478329409982688E-009   0.745295984E-004
   0.65632396067417942E-009   0.757912931E-004
   0.65786462724853195E-009   0.770732222E-004
   0.65940529382288449E-009   0.783757132E-004
   0.66094596039723702E-009   0.796990425E-004
   0.66248662697158955E-009   0.810434867E-004
   0.66402729354594209E-009   0.824093659E-004
   0.66556796012029462E-009   0.837970074E-004
   0.66710862669464716E-009   0.852067969E-004
   0.66864929326899969E-009   0.866390328E-004
   0.67018995984335222E-009   0.880940206E-004
   0.67173062641770476E-009   0.895720805E-004
   0.67327129299205729E-009   0.910735980E-004
   0.67481195956640982E-009   0.925989225E-004
   0.67635262614076236E-009   0.941484323E-004
   0.67789329271511489E-009   0.957224111E-004
   0.67943395928946743E-009   0.973212591E-004
   0.68097462586381996E-009   0.989453256E-004
   0.68251529243817249E-009   0.100595011E-003
   0.68405595901252503E-009   0.102270700E-003
   0.68559662558687756E-009   0.103972765E-003
   0.68713729216123010E-009   0.105701576E-003
   0.68867795873558263E-009   0.107457570E-003
   0.69021862530993516E-009   0.109241082E-003
   0.69175929188428770E-009   0.111052548E-003
   0.69329995845864023E-009   0.112892383E-003
   0.69484062503299276E-009   0.114761002E-003
   0.69638129160734530E-009   0.116658819E-003
   0.69792195818169783E-009   0.118586235E-003
   0.69946262475605037E-009   0.120543700E-003
   0.70100329133040290E-009   0.122531696E-003
   0.70254395790475543E-009   0.124550657E-003
   0.70408462447910797E-009   0.126600993E-003
   0.70562529105346050E-009   0.128683110E-003
   0.70716595762781304E-009   0.130797518E-003
   0.70870662420216557E-009   0.132944755E-003
   0.71024729077651810E-009   0.135125287E-003
   0.71178795735087064E-009   0.137339521E-003
   0.71332862392522317E-009   0.139587893E-003
   0.71486929049957570E-009   0.141870929E-003
   0.71640995707392824E-009   0.144189209E-003
   0.71795062364828077E-009   0.146543258E-003
   0.71949129022263331E-009   0.148933585E-003
   0.72103195679698584E-009   0.151360582E-003
   0.72257262337133837E-009   0.153824774E-003
   0.72411328994569091E-009   0.156326802E-003
   0.72565395652004344E-009   0.158867217E-003
   0.72719462309439598E-009   0.161446529E-003
   0.72873528966874851E-009   0.164065248E-003
   0.73027595624310104E-009   0.166723970E-003
   0.73181662281745358E-009   0.169423263E-003
   0.73335728939180611E-009   0.172163680E-003
   0.73489795596615864E-009   0.174945875E-003
   0.73643862254051118E-009   0.177770373E-003
   0.73797928911486371E-009   0.180637799E-003
   0.73951995568921625E-009   0.183548720E-003
   0.74106062226356878E-009   0.186503763E-003
   0.74260128883792131E-009   0.189503626E-003
   0.74414195541227385E-009   0.192548905E-003
   0.74568262198662638E-009   0.195640227E-003
   0.74722328856097892E-009   0.198778202E-003
   0.74876395513533145E-009   0.201963441E-003
   0.75030462170968398E-009   0.205196644E-003
   0.75184528828403652E-009   0.208478596E-003
   0.75338595485838905E-009   0.211809980E-003
   0.75492662143274158E-009   0.215191409E-003
   0.75646728800709412E-009   0.218623492E-003
   0.75800795458144665E-009   0.222106915E-003
   0.75954862115579919E-009   0.225642551E-003
   0.76108928773015172E-009   0.229231169E-003
   0.76262995430450425E-009   0.232873383E-003
   0.76417062087885679E-009   0.236569933E-003
   0.76571128745320932E-009   0.240321577E-003
   0.76725195402756186E-009   0.244129085E-003
   0.76879262060191439E-009   0.247993245E-003
   0.77033328717626692E-009   0.251914869E-003
   0.77187395375061946E-009   0.255894614E-003
   0.77341462032497199E-009   0.259933440E-003
   0.77495528689932452E-009   0.264032104E-003
   0.77649595347367706E-009   0.268191478E-003
   0.77803662004802959E-009   0.272412290E-003
   0.77957728662238213E-009   0.276695355E-003
   0.78111795319673466E-009   0.281041575E-003
   0.78265861977108719E-009   0.285451853E-003
   0.78419928634543973E-009   0.289927062E-003
   0.78573995291979226E-009   0.294468104E-003
   0.78728061949414480E-009   0.299075880E-003
   0.78882128606849733E-009   0.303751207E-003
   0.79036195264284986E-009   0.308494986E-003
   0.79190261921720240E-009   0.313308119E-003
   0.79344328579155493E-009   0.318191684E-003
   0.79498395236590746E-009   0.323146669E-003
   0.79652461894026000E-009   0.328173977E-003
   0.79806528551461253E-009   0.333274482E-003
   0.79960595208896507E-009   0.338449143E-003
   0.80114661866331760E-009   0.343699066E-003
   0.80268728523767013E-009   0.349025388E-003
   0.80422795181202267E-009   0.354429008E-003
   0.80576861838637520E-009   0.359910831E-003
   0.80730928496072774E-009   0.365471962E-003
   0.80884995153508027E-009   0.371113536E-003
   0.81039061810943280E-009   0.376836688E-003
   0.81193128468378534E-009   0.382642495E-003
   0.81347195125813787E-009   0.388531917E-003
   0.81501261783249040E-009   0.394505943E-003
   0.81655328440684294E-009   0.400565972E-003
   0.81809395098119547E-009   0.406713079E-003
   0.81963461755554801E-009   0.412948546E-003
   0.82117528412990054E-009   0.419273332E-003
   0.82271595070425307E-009   0.425688690E-003
   0.82425661727860561E-009   0.432195724E-003
   0.82579728385295814E-009   0.438795658E-003
   0.82733795042731068E-009   0.445489772E-003
   0.82887861700166321E-009   0.452279317E-003
   0.83041928357601574E-009   0.459165632E-003
   0.83195995015036828E-009   0.466149824E-003
   0.83350061672472081E-009   0.473233114E-003
   0.83504128329907334E-009   0.480416871E-003
   0.83658194987342588E-009   0.487702666E-003
   0.83812261644777841E-009   0.495091663E-003
   0.83966328302213095E-009   0.502585142E-003
   0.84120394959648348E-009   0.510184211E-003
   0.84274461617083601E-009   0.517890323E-003
   0.84428528274518855E-009   0.525705342E-003
   0.84582594931954108E-009   0.533630489E-003
   0.84736661589389362E-009   0.541667046E-003
   0.84890728246824615E-009   0.549816352E-003
   0.85044794904259868E-009   0.558079861E-003
   0.85198861561695122E-009   0.566459144E-003
   0.85352928219130375E-009   0.574955891E-003
   0.85506994876565628E-009   0.583571440E-003
   0.85661061534000882E-009   0.592307304E-003
   0.85815128191436135E-009   0.601165113E-003
   0.85969194848871389E-009   0.610146148E-003
   0.86123261506306642E-009   0.619252212E-003
   0.86277328163741895E-009   0.628484879E-003
   0.86431394821177149E-009   0.637845602E-003
   0.86585461478612402E-009   0.647336245E-003
   0.86739528136047656E-009   0.656958262E-003
   0.86893594793482909E-009   0.666713400E-003
   0.87047661450918162E-009   0.676603464E-003
   0.87201728108353416E-009   0.686630141E-003
   0.87355794765788669E-009   0.696795061E-003
   0.87509861423223922E-009   0.707099913E-003
   0.87663928080659176E-009   0.717546325E-003
   0.87817994738094429E-009   0.728136394E-003
   0.87972061395529683E-009   0.738871866E-003
   0.88126128052964936E-009   0.749754487E-003
   0.88280194710400189E-009   0.760786177E-003
   0.88434261367835443E-009   0.771968334E-003
   0.88588328025270696E-009   0.783303229E-003
   0.88742394682705950E-009   0.794793130E-003
   0.88896461340141203E-009   0.806439784E-003
   0.89050527997576456E-009   0.818244880E-003
   0.89204594655011710E-009   0.830210163E-003
   0.89358661312446963E-009   0.842337904E-003
   0.89512727969882216E-009   0.854630256E-003
   0.89666794627317470E-009   0.867089257E-003
   0.89820861284752723E-009   0.879716827E-003
   0.89974927942187977E-009   0.892514712E-003
   0.90128994599623230E-009   0.905485242E-003
   0.90283061257058483E-009   0.918630860E-003
   0.90437127914493737E-009   0.931953778E-003
   0.90591194571928990E-009   0.945455860E-003
   0.90745261229364244E-009   0.959139084E-003
   0.90899327886799497E-009   0.973005896E-003
   0.91053394544234750E-009   0.987058622E-003
   0.91207461201670004E-009   0.100129959E-002
   0.91361527859105257E-009   0.101573067E-002
   0.91515594516540510E-009   0.103035464E-002
   0.91669661173975764E-009   0.104517373E-002
   0.91823727831411017E-009   0.106019003E-002
   0.91977794488846271E-009   0.107540586E-002
   0.92131861146281524E-009   0.109082402E-002
   0.92285927803716777E-009   0.110644719E-002
   0.92439994461152031E-009   0.112227746E-002
   0.92594061118587284E-009   0.113831740E-002
   0.92748127776022538E-009   0.115456886E-002
   0.92902194433457791E-009   0.117103511E-002
   0.93056261090893044E-009   0.118771917E-002
   0.93210327748328298E-009   0.120462268E-002
   0.93364394405763551E-009   0.122174853E-002
   0.93518461063198804E-009   0.123909931E-002
   0.93672527720634058E-009   0.125667767E-002
   0.93826594378069311E-009   0.127448665E-002
   0.93980661035504565E-009   0.129252917E-002
   0.94134727692939818E-009   0.131080765E-002
   0.94288794350375071E-009   0.132932537E-002
   0.94442861007810325E-009   0.134808442E-002
   0.94596927665245578E-009   0.136708771E-002
   0.94750994322680832E-009   0.138633838E-002
   0.94905060980116085E-009   0.140583864E-002
   0.95059127637551338E-009   0.142559223E-002
   0.95213194294986592E-009   0.144560169E-002
   0.95367260952421845E-009   0.146587053E-002
   0.95521327609857098E-009   0.148640177E-002
   0.95675394267292352E-009   0.150719821E-002
   0.95829460924727605E-009   0.152826298E-002
   0.95983527582162859E-009   0.154959923E-002
   0.96137594239598112E-009   0.157121033E-002
   0.96291660897033365E-009   0.159309944E-002
