time	V(n001)	I(R1)
2.181450949794328e-04	2.058598e-02	-6.370478e-07
2.186333762294328e-04	2.061657e-02	-6.273642e-07
2.191216574794328e-04	2.064718e-02	-6.251730e-07
2.196099387294328e-04	2.067789e-02	-6.304898e-07
2.200982199794328e-04	2.070922e-02	-6.431525e-07
2.205865012294328e-04	2.074130e-02	-6.628260e-07
2.210747824794328e-04	2.077457e-02	-6.890114e-07
2.220513449794328e-04	2.084574e-02	-7.581793e-07
2.235161887294328e-04	2.096760e-02	-8.905238e-07
2.240044699794328e-04	2.101306e-02	-9.406987e-07
2.244927512294328e-04	2.106056e-02	-9.880907e-07
2.249810324794328e-04	2.111010e-02	-1.032700e-06
2.254693137294328e-04	2.116168e-02	-1.074526e-06
2.259575949794328e-04	2.121531e-02	-1.113570e-06
2.264458762294328e-04	2.127097e-02	-1.149831e-06
2.269341574794328e-04	2.132868e-02	-1.183308e-06
2.279107199794328e-04	2.144701e-02	-1.227278e-06
2.288872824794328e-04	2.156792e-02	-1.244093e-06
2.298638449794328e-04	2.168903e-02	-1.232438e-06
2.308404074794328e-04	2.180731e-02	-1.193681e-06
2.318169699794328e-04	2.192040e-02	-1.131718e-06
2.332818137294328e-04	2.207617e-02	-1.008910e-06
2.337700949794328e-04	2.212362e-02	-9.613456e-07
2.342583762294328e-04	2.216906e-02	-9.160549e-07
2.347466574794328e-04	2.221249e-02	-8.730374e-07
2.352349387294328e-04	2.225392e-02	-8.322931e-07
2.357232199794328e-04	2.229335e-02	-7.938219e-07
2.362115012294328e-04	2.233076e-02	-7.576240e-07
2.366997824794328e-04	2.236617e-02	-7.236992e-07
2.371880637294328e-04	2.240080e-02	-6.974834e-07
2.376763449794328e-04	2.243403e-02	-6.771815e-07
2.381646262294328e-04	2.246662e-02	-6.632447e-07
2.386529074794328e-04	2.249863e-02	-6.559719e-07
2.391411887294328e-04	2.253081e-02	-6.555024e-07
2.396294699794328e-04	2.256301e-02	-6.618147e-07
2.401177512294328e-04	2.259580e-02	-6.747264e-07
2.406060324794328e-04	2.262949e-02	-6.939005e-07
2.415825949794328e-04	2.270038e-02	-7.489663e-07
2.425591574794328e-04	2.277767e-02	-8.216256e-07
2.430474387294328e-04	2.281925e-02	-8.649218e-07
2.435357199794328e-04	2.286285e-02	-9.073899e-07
2.440240012294328e-04	2.290848e-02	-9.490300e-07
2.445122824794328e-04	2.295613e-02	-9.898421e-07
2.450005637294328e-04	2.300581e-02	-1.029826e-06
2.454888449794328e-04	2.305751e-02	-1.068982e-06
2.459771262294328e-04	2.311123e-02	-1.107310e-06
2.469536887294328e-04	2.322295e-02	-1.166102e-06
2.479302512294328e-04	2.333908e-02	-1.203329e-06
2.489068137294328e-04	2.345759e-02	-1.215708e-06
2.498833762294328e-04	2.357569e-02	-1.202319e-06
2.508599387294328e-04	2.369106e-02	-1.164665e-06
2.518365012294328e-04	2.380143e-02	-1.106513e-06
2.533013449794328e-04	2.395440e-02	-9.935958e-07
2.537896262294328e-04	2.400124e-02	-9.503965e-07
2.542779074794328e-04	2.404629e-02	-9.094514e-07
