time	V(n001)	I(R1)
4.529901060063609e-04	1.325095e-02	-2.057292e-05
4.541604031636946e-04	1.454437e-02	-4.308459e-06
4.552184938836420e-04	1.404902e-02	1.081854e-05
4.562606783335505e-04	1.207588e-02	2.443171e-05
4.578099178341379e-04	6.998311e-03	3.920678e-05
4.592248977205704e-04	9.940587e-04	4.486129e-05
4.604755592601309e-04	-4.459316e-03	4.269428e-05
4.617505036153022e-04	-9.257589e-03	3.394993e-05
4.632836914886199e-04	-1.298513e-02	1.689850e-05
4.643700162013134e-04	-1.388239e-02	2.304979e-06
4.654615389972400e-04	-1.318029e-02	-1.246475e-05
4.665632412193570e-04	-1.094218e-02	-2.575255e-05
4.681672948653391e-04	-5.613518e-03	-3.903062e-05
4.695449360312445e-04	6.492805e-05	-4.285258e-05
4.707862685629771e-04	5.151074e-03	-3.961514e-05
4.720416589241095e-04	9.456883e-03	-3.044567e-05
4.736575661230191e-04	1.274794e-02	-1.250511e-05
4.746080913433330e-04	1.322627e-02	-1.605295e-07
4.757355006145715e-04	1.228983e-02	1.422305e-05
4.768862561712762e-04	9.794790e-03	2.693006e-05
4.785657250216070e-04	4.170071e-03	3.865684e-05
4.799058082872236e-04	-1.165314e-03	4.067009e-05
4.811689886447773e-04	-5.972865e-03	3.616165e-05
4.824564886345458e-04	-9.870033e-03	2.596271e-05
4.841593287965010e-04	-1.248077e-02	6.932832e-06
4.852031261579255e-04	-1.239698e-02	-6.050656e-06
4.862149160988517e-04	-1.106568e-02	-1.792008e-05
4.876243852194018e-04	-7.487432e-03	-3.099494e-05
4.892770302622432e-04	-1.664631e-03	-3.855744e-05
4.905813019719151e-04	3.284852e-03	-3.750075e-05
4.919155704924291e-04	7.724951e-03	-3.015564e-05
4.933744493094780e-04	1.099194e-02	-1.650273e-05
4.945297844847369e-04	1.199872e-02	-3.221877e-06
4.955954122930272e-04	1.154809e-02	9.324017e-06
4.966520023730879e-04	9.852539e-03	2.062973e-05
4.982123725320809e-04	5.574189e-03	3.266525e-05
4.996188393113261e-04	6.294402e-04	3.702773e-05
5.008674909023969e-04	-3.848509e-03	3.501796e-05
5.021380894278905e-04	-7.755796e-03	2.764575e-05
5.036892112791396e-04	-1.078486e-02	1.326627e-05
5.047448669034488e-04	-1.144837e-02	1.530767e-06
5.058433122882326e-04	-1.082256e-02	-1.070111e-05
5.069561266983331e-04	-8.911066e-03	-2.168108e-05
5.085754933997700e-04	-4.418318e-03	-3.247363e-05
5.099451746647108e-04	2.533740e-04	-3.532591e-05
5.111834128461255e-04	4.419527e-03	-3.243279e-05
5.124343713418402e-04	7.916964e-03	-2.471656e-05
5.140697003545355e-04	1.057149e-02	-9.599101e-06
5.150008399793394e-04	1.090013e-02	3.974690e-07
5.161448387841064e-04	1.004919e-02	1.238050e-05
5.173123474018721e-04	7.887810e-03	2.285143e-05
5.190145536178775e-04	3.108071e-03	3.221010e-05
5.203411993750350e-04	-1.258737e-03	3.343675e-05
5.217455389861988e-04	-5.569743e-03	2.864195e-05
5.230368005701468e-04	-8.586776e-03	1.950209e-05
5.244556586267294e-04	-1.027097e-02	6.123958e-06
5.254431532318251e-04	-1.027326e-02	-4.019704e-06
5.264750235973948e-04	-9.238585e-03	-1.408655e-05
5.278383426562866e-04	-6.480655e-03	-2.480155e-05
5.294980733151158e-04	-1.730488e-03	-3.161556e-05
5.308053925548701e-04	2.371096e-03	-3.119680e-05
5.321484950178846e-04	6.121086e-03	-2.549381e-05
5.335710598687545e-04	8.882069e-03	-1.482231e-05
5.347909262603726e-04	9.877991e-03	-3.380054e-06
5.358400841208539e-04	9.594337e-03	6.834684e-06
5.368609155439779e-04	8.338071e-03	1.598769e-05
5.383899380420444e-04	5.011198e-03	2.619328e-05
5.398382741788710e-04	8.667141e-04	3.044982e-05
5.410961109655233e-04	-2.871474e-03	2.918895e-05
5.423808603937410e-04	-6.189351e-03	2.336843e-05
5.438913723166081e-04	-8.754010e-03	1.208229e-05
5.450091140973347e-04	-9.434707e-03	1.917135e-06
5.460921655199830e-04	-9.001934e-03	-8.066757e-06
5.471795512069682e-04	-7.545663e-03	-1.706348e-05
5.487668466016242e-04	-4.017139e-03	-2.624011e-05
5.501541845187914e-04	-1.473884e-04	-2.912881e-05
5.513981180812574e-04	3.332950e-03	-2.714743e-05
5.526588185312183e-04	6.311425e-03	-2.106802e-05
5.542516639255589e-04	8.602563e-03	-9.190170e-06
5.552341315761516e-04	8.994367e-03	-5.459956e-07
5.563478793102889e-04	8.418278e-03	9.150594e-06
5.574827058891634e-04	6.803256e-03	1.778748e-05
5.591386702613616e-04	3.097075e-03	2.598483e-05
5.604912752437454e-04	-5.512841e-04	2.770653e-05
5.617262387603116e-04	-3.780958e-03	2.503138e-05
5.629866905679556e-04	-6.464597e-03	1.857433e-05
5.646587191526771e-04	-8.406533e-03	6.141829e-06
5.656307047442248e-04	-8.521461e-03	-2.085059e-06
5.668478240361522e-04	-7.573584e-03	-1.187987e-05
5.680974649959182e-04	-5.497072e-03	-2.004674e-05
5.698670933267134e-04	-1.352750e-03	-2.610756e-05
5.712042253172901e-04	2.099841e-03	-2.560805e-05
5.725710694753031e-04	5.208699e-03	-2.061321e-05
5.740050421110586e-04	7.424715e-03	-1.155529e-05
5.751757078544607e-04	8.152537e-03	-2.437535e-06
5.762328830364086e-04	7.877498e-03	6.035702e-06
5.772733964381955e-04	6.776591e-03	1.365960e-05
5.788216296693533e-04	3.936852e-03	2.195304e-05
5.802375734714580e-04	5.705741e-04	2.514415e-05
5.814884632386987e-04	-2.487643e-03	2.394508e-05
5.827638815372413e-04	-5.180813e-03	1.905471e-05
5.842952148323112e-04	-7.273479e-03	9.518884e-06
5.853846563458055e-04	-7.781573e-03	1.318114e-06
5.864754547515342e-04	-7.391186e-03	-6.957215e-06
5.875759536976197e-04	-6.141562e-03	-1.440363e-05
5.891784480097021e-04	-3.161519e-03	-2.185762e-05
5.905569426970979e-04	2.229899e-05	-2.402129e-05
5.917985206608650e-04	2.875048e-03	-2.222260e-05
5.930543933615475e-04	5.292658e-03	-1.709378e-05
5.946682403158016e-04	7.141414e-03	-7.060507e-06
5.956206720562445e-04	7.414408e-03	-1.288280e-07
5.967463034671202e-04	6.895080e-03	7.924773e-06
5.978951376580142e-04	5.504402e-03	1.504719e-05
