time	I(R1)
7.664810381094004e-04	1.954578e-06
7.674662860920206e-04	-1.225620e-06
7.685102078139148e-04	-4.426648e-06
7.698640447081195e-04	-7.774841e-06
7.715308077871429e-04	-9.932875e-06
7.728400983274263e-04	-9.802919e-06
7.741850119808239e-04	-8.008146e-06
7.756069740855026e-04	-4.655464e-06
7.768260975261709e-04	-1.062107e-06
7.778751433309148e-04	2.147216e-06
7.788958373941403e-04	5.022946e-06
7.804249144707664e-04	8.230069e-06
7.818734366475904e-04	9.567862e-06
7.831313532708685e-04	9.171636e-06
7.844161799340658e-04	7.342527e-06
7.859266832077750e-04	3.796147e-06
7.870443483826003e-04	6.022708e-07
7.881274037291871e-04	-2.534849e-06
7.892147998734799e-04	-5.361780e-06
7.908021185696558e-04	-8.245202e-06
7.921895004820446e-04	-9.152790e-06
7.934334878302693e-04	-8.530021e-06
7.946942333652845e-04	-6.619515e-06
7.962871226693124e-04	-2.887018e-06
7.972694451931536e-04	-1.712353e-07
7.983832134595539e-04	2.875636e-06
7.995180676662726e-04	5.589488e-06
8.011740959267859e-04	8.165106e-06
8.025267309364934e-04	8.705835e-06
8.037617812414490e-04	7.864905e-06
8.050223267872900e-04	5.835520e-06
8.066944332968793e-04	1.928558e-06
8.076666237761472e-04	-6.570295e-07
8.088831338865277e-04	-3.733126e-06
8.101331829411650e-04	-6.299908e-06
8.119024547570940e-04	-8.203526e-06
8.132395430925721e-04	-8.046413e-06
8.146063420099575e-04	-6.476891e-06
8.160403729314546e-04	-3.630542e-06
8.172109810888976e-04	-7.656941e-07
8.182681785140758e-04	1.896792e-06
8.193087369749857e-04	4.292411e-06
8.208570060008830e-04	6.898263e-06
8.222729846795928e-04	7.900772e-06
8.235239344904352e-04	7.523748e-06
8.247993982157617e-04	5.986804e-06
8.263308138954883e-04	2.990090e-06
8.274200454923510e-04	4.136988e-07
8.285108819068175e-04	-2.186617e-06
8.296114463603849e-04	-4.526445e-06
8.312140344382306e-04	-6.868431e-06
8.325925454344141e-04	-7.547912e-06
8.338341781729787e-04	-6.982325e-06
8.350900850839643e-04	-5.370362e-06
8.367040728419940e-04	-2.217152e-06
8.376563183921005e-04	-3.946749e-08
8.387820934187874e-04	2.491347e-06
8.399310832948973e-04	4.729347e-06
8.416083779404591e-04	6.801349e-06
8.429498953704457e-04	7.165201e-06
8.442102855458420e-04	6.381324e-06
8.454952262903214e-04	4.597053e-06
8.471949380144234e-04	1.258060e-06
8.482314361437373e-04	-1.013456e-06
8.492636329072791e-04	-3.148487e-06
8.506550370091238e-04	-5.431090e-06
8.523190419829557e-04	-6.788152e-06
8.536265964927992e-04	-6.609502e-06
8.549642061091487e-04	-5.317287e-06
8.564198009905569e-04	-2.921022e-06
8.575780549805183e-04	-5.771493e-07
8.586424970886379e-04	1.630637e-06
8.596968242495404e-04	3.619847e-06
8.612553012400419e-04	5.743923e-06
8.626632195998830e-04	6.520929e-06
8.639122957189551e-04	6.173234e-06
8.651836864636011e-04	4.879151e-06
8.667319043671394e-04	2.355443e-06
8.677924568617463e-04	2.799759e-07
8.688898025189622e-04	-1.873011e-06
8.700009017677028e-04	-3.806433e-06
8.716178070279198e-04	-5.711778e-06
8.729888318039691e-04	-6.222489e-06
8.742277700291418e-04	-5.718918e-06
8.754795111568199e-04	-4.363844e-06
8.771118438343513e-04	-1.709856e-06
8.780460465823050e-04	5.603640e-08
8.791875430506632e-04	2.163450e-06
8.803526580342672e-04	4.008196e-06
8.820513803020711e-04	5.664866e-06
8.833801098985874e-04	5.892239e-06
8.847856699532332e-04	5.056664e-06
8.860728058646382e-04	3.459234e-06
8.874996285568394e-04	1.093988e-06
8.884850942967883e-04	-6.890649e-07
8.895278404958162e-04	-2.481336e-06
8.908825926176129e-04	-4.359183e-06
8.925486691418826e-04	-5.567953e-06
8.938578232689963e-04	-5.495004e-06
8.952026115824279e-04	-4.489014e-06
8.966246411152903e-04	-2.609580e-06
8.978437811680816e-04	-5.952858e-07
8.988928456120009e-04	1.203732e-06
8.999135737706110e-04	2.815762e-06
9.014426655885813e-04	4.613475e-06
9.028911164980047e-04	5.363285e-06
9.041490701134226e-04	5.141133e-06
9.054339286956705e-04	4.115744e-06
9.069444587807834e-04	2.127727e-06
9.080620532018947e-04	3.374935e-07
9.091451215825917e-04	-1.421038e-06
9.102325418564241e-04	-3.005690e-06
9.118198916895549e-04	-4.621953e-06
9.132073167938608e-04	-5.130614e-06
9.144513640616148e-04	-4.781380e-06
9.157121580498869e-04	-3.710270e-06
9.173051099770636e-04	-1.617813e-06
9.182872448217226e-04	-9.574406e-08
9.194010409013882e-04	1.612208e-06
9.205359324088797e-04	3.133454e-06
9.221920446574731e-04	4.577123e-06
9.235447092635348e-04	4.880038e-06
9.247798707213787e-04	4.408398e-06
9.260405353592148e-04	3.270489e-06
9.277127437044550e-04	1.080109e-06
9.286851979925305e-04	-3.696458e-07
9.299009247063439e-04	-2.092798e-06
9.311514992727323e-04	-3.532050e-06
9.329203127224056e-04	-4.598551e-06
9.342573369386292e-04	-4.510368e-06
9.356240704817858e-04	-3.630539e-06
9.370581750957110e-04	-2.034884e-06
9.382287172446865e-04	-4.290601e-07
9.392859421134893e-04	1.063432e-06
9.403265557057077e-04	2.406338e-06
9.418748677203600e-04	3.866987e-06
9.432908842097322e-04	4.428815e-06
9.445419021939162e-04	4.217304e-06
9.458174168582548e-04	3.355568e-06
9.473489306543779e-04	1.675498e-06
9.484379156240282e-04	2.315847e-07
9.495287970269642e-04	-1.226067e-06
9.506294388947927e-04	-2.537682e-06
9.522321374980520e-04	-3.850361e-06
9.536106653519442e-04	-4.230991e-06
9.548523602056181e-04	-3.913685e-06
9.561083052206719e-04	-3.009837e-06
9.577224583084413e-04	-1.241922e-06
9.586744867511851e-04	-2.146039e-08
9.598004296962521e-04	1.397342e-06
9.609496013968573e-04	2.651863e-06
9.626271309937890e-04	3.812950e-06
9.639685827225545e-04	4.016353e-06
9.652292983488054e-04	3.576291e-06
9.665145515194431e-04	2.575316e-06
9.682146041503370e-04	7.028261e-07
9.692519373042505e-04	-5.714621e-07
9.702817856084199e-04	-1.765392e-06
9.716752389458565e-04	-3.046209e-06
9.733379335439058e-04	-3.805310e-06
9.746451941809171e-04	-3.704675e-06
9.759824969776208e-04	-2.980147e-06
9.774384746987854e-04	-1.636325e-06
9.785963193926913e-04	-3.228341e-07
9.796609065003041e-04	9.148794e-07
9.807155156559854e-04	2.030082e-06
9.822742364221739e-04	3.220444e-06
9.836820689570181e-04	3.655392e-06
9.849311951764185e-04	3.459967e-06
9.862025784504577e-04	2.734111e-06
9.877512025897055e-04	1.318680e-06
9.888109564893119e-04	1.560462e-07
9.899084654668194e-04	-1.050936e-06
9.910198232634050e-04	-2.134761e-06
9.926371126010689e-04	-3.202434e-06
9.940080345826065e-04	-3.487995e-06
9.952469648391190e-04	-3.205118e-06
9.964986847542411e-04	-2.445041e-06
9.981315059979039e-04	-9.564887e-07
9.990651141160982e-04	3.282275e-08
1.000207055226889e-03	1.214457e-06
1.001372597310350e-03	2.248487e-06
1.003071953102742e-03	3.176309e-06
1.004400418142567e-03	3.302608e-06
1.005805852236424e-03	2.833227e-06
1.007093769256413e-03	1.936443e-06
1.008519032176138e-03	6.115762e-07
1.009504887627105e-03	-3.883054e-07
1.010545529963804e-03	-1.390890e-06
1.011901924921182e-03	-2.444538e-06
1.013566772931162e-03	-3.121193e-06
1.014875682657258e-03	-3.080197e-06
1.016220246179355e-03	-2.516359e-06
1.017642398106912e-03	-1.462752e-06
1.018861565051437e-03	-3.336054e-07
1.019910663628706e-03	6.748665e-07
1.020931454588837e-03	1.578528e-06
1.022460574187902e-03	2.586193e-06
1.023908893269080e-03	3.006405e-06
1.025166911894938e-03	2.881830e-06
1.026451826328760e-03	2.306967e-06
1.027962405554179e-03	1.192491e-06
1.029079872769153e-03	1.890708e-07
1.030162964832541e-03	-7.966924e-07
1.031250428862721e-03	-1.684983e-06
1.032837834934735e-03	-2.590938e-06
1.034225336621320e-03	-2.875979e-06
1.035469490656285e-03	-2.680074e-06
1.036730370833398e-03	-2.079489e-06
